season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total
2006,Karlsruher SC (1.),,8,10,9,0,10,20,10,2,69
2006,MSV Duisburg (3.),,10,10,11,0,10,11,11,3,66
2006,SC Freiburg (4.),,4,6,9,0,9,14,12,1,55
2006,SpVgg Greuther F¨¹rth (5.),,4,8,9,0,9,8,13,2,53
2006,FC Hansa Rostock (2.),,6,5,7,1,7,10,12,1,49
2006,1. FC K?ln (9.),,8,10,5,0,3,12,10,1,49
2006,1.FC Kaiserslautern (6.),,5,6,8,0,14,7,8,0,48
2006,TSV 1860 Munich (8.),,5,5,4,0,12,7,13,1,47
2006,FC Erzgebirge Aue (10.),,4,6,6,0,8,7,14,1,46
2006,FC Augsburg (7.),,5,7,12,1,7,6,4,1,43
2006,Kickers Offenbach (14.),,4,7,11,0,3,5,10,2,42
2006,SV Wacker Burghausen (17.),,5,3,2,0,11,11,7,3,42
2006,FC Carl Zeiss Jena (13.),,6,3,8,1,8,8,5,1,40
2006,TuS Koblenz (12.),,5,2,6,1,4,10,6,2,36
2006,Rot-Weiss Essen (15.),,4,5,7,1,6,6,5,0,34
2006,SpVgg Unterhaching (16.),,7,4,6,0,5,4,7,0,33
2006,SC Paderborn 07 (11.),,3,4,5,0,4,5,8,3,32
2006,Eintracht Braunschweig (18.),,1,3,3,0,3,5,5,0,20
2007,Borussia M?nchengladbach (1.),,13,7,8,0,15,12,15,1,71
2007,1. FC K?ln (3.),,11,10,8,0,7,15,9,2,62
2007,1.FSV Mainz 05 (4.),,9,9,6,1,14,10,10,3,62
2007,TSG 1899 Hoffenheim (2.),,5,11,9,0,10,11,14,0,60
2007,SpVgg Greuther F¨¹rth (6.),,4,7,10,1,9,6,12,4,53
2007,SC Freiburg (5.),,5,6,7,0,9,8,13,1,49
2007,Alemannia Aachen (7.),,8,9,5,0,9,8,10,0,49
2007,FC Erzgebirge Aue (16.),,8,6,8,0,5,10,11,1,49
2007,SV Wehen Wiesbaden (9.),,8,7,9,0,7,8,6,2,47
2007,FC St. Pauli (10.),,9,6,10,0,9,5,8,0,47
2007,TuS Koblenz (8.),,2,8,9,1,11,5,8,2,46
2007,FC Carl Zeiss Jena (18.),,6,3,7,1,7,9,11,1,45
2007,VfL Osnabr¨¹ck (12.),,4,5,11,0,9,6,8,0,43
2007,TSV 1860 Munich (11.),,3,6,6,1,7,10,7,2,42
2007,FC Augsburg (14.),,1,7,8,0,8,8,7,0,39
2007,Kickers Offenbach (15.),,3,9,5,0,7,6,7,1,38
2007,1.FC Kaiserslautern (13.),,2,10,7,1,1,8,7,1,37
2007,SC Paderborn 07 (17.),,1,4,10,0,6,8,3,1,33
2008,1.FSV Mainz 05 (2.),,7,10,12,0,8,12,11,2,62
2008,SC Freiburg (1.),,9,7,7,0,7,14,15,1,60
2008,SpVgg Greuther F¨¹rth (5.),,10,10,11,0,4,9,16,0,60
2008,Alemannia Aachen (4.),,8,8,9,0,9,7,15,2,58
2008,MSV Duisburg (6.),,6,12,10,0,8,7,11,2,56
2008,1.FC Kaiserslautern (7.),,7,5,3,0,8,19,9,2,53
2008,FC St. Pauli (8.),,6,5,12,0,11,10,6,2,52
2008,FC Hansa Rostock (13.),,6,9,11,0,7,7,12,0,52
2008,1.FC Nuremberg (3.),,4,11,10,0,6,9,9,2,51
2008,TuS Koblenz (14.),,6,8,15,0,6,6,5,1,47
2008,TSV 1860 Munich (12.),,6,3,10,0,9,10,5,1,44
2008,FC Augsburg (11.),,3,10,6,0,9,6,7,2,43
2008,VfL Osnabr¨¹ck (16.),,3,5,6,1,11,8,5,2,41
2008,Rot Weiss Ahlen (10.),,4,3,8,0,4,8,8,3,38
2008,FC Ingolstadt 04 (17.),,6,7,7,1,7,4,6,0,38
2008,Rot-Wei? Oberhausen (9.),,6,7,10,0,3,6,3,0,35
2008,FSV Frankfurt (15.),,4,4,4,0,3,6,12,1,34
2008,SV Wehen Wiesbaden (18.),,1,5,6,0,1,7,7,1,28
2009,FC St. Pauli (2.),,8,12,10,0,11,17,12,2,72
2009,FC Augsburg (3.),,9,6,7,2,12,14,8,2,60
2009,1.FC Kaiserslautern (1.),,6,10,6,1,9,11,11,2,56
2009,FC Energie Cottbus (9.),,6,7,11,1,11,11,8,0,55
2009,MSV Duisburg (6.),,7,9,7,1,7,8,11,1,51
2009,SpVgg Greuther F¨¹rth (11.),,4,8,9,0,10,11,8,1,51
2009,SC Paderborn 07 (5.),,7,9,10,0,3,9,10,1,49
2009,Fortuna D¨¹sseldorf (4.),,6,13,7,0,6,8,7,1,48
2009,Arminia Bielefeld (7.),,1,3,11,1,14,11,6,1,48
2009,TSV 1860 Munich (8.),,5,7,6,0,6,5,12,2,43
2009,Karlsruher SC (10.),,7,7,6,0,9,5,7,2,43
2009,1.FC Union Berlin (12.),,7,5,7,1,7,3,10,2,42
2009,Rot-Wei? Oberhausen (14.),,5,5,6,0,5,8,9,0,38
2009,Alemannia Aachen (13.),,8,3,8,1,6,4,6,1,37
2009,TuS Koblenz (17.),,9,2,4,1,5,6,7,1,35
2009,FC Hansa Rostock (16.),,7,1,8,0,9,4,3,1,33
2009,FSV Frankfurt (15.),,5,6,2,0,3,6,6,1,29
2009,Rot Weiss Ahlen (18.),,2,3,4,1,3,4,2,0,19
2010,Hertha BSC (1.),,8,12,13,1,11,10,13,1,69
2010,FC Energie Cottbus (6.),,5,12,8,0,12,15,10,3,65
2010,FC Augsburg (2.),,9,7,8,0,15,8,10,1,58
2010,Alemannia Aachen (10.),,12,7,6,2,10,8,10,3,58
2010,MSV Duisburg (8.),,10,6,4,0,8,11,12,2,53
2010,TSV 1860 Munich (9.),,6,6,10,0,8,10,10,0,50
2010,VfL Bochum (3.),,8,11,4,0,6,6,11,3,49
2010,Fortuna D¨¹sseldorf (7.),,7,8,7,1,6,11,9,0,49
2010,SpVgg Greuther F¨¹rth (4.),,8,7,3,2,12,4,10,1,47
2010,Karlsruher SC (15.),,7,10,7,0,6,4,11,1,46
2010,FSV Frankfurt (13.),,7,5,5,0,11,8,5,1,42
2010,FC Erzgebirge Aue (5.),,5,5,3,0,5,10,9,3,40
2010,FC Ingolstadt 04 (14.),,7,5,6,0,9,6,7,0,40
2010,VfL Osnabr¨¹ck (16.),,2,8,6,0,6,9,8,1,40
2010,1.FC Union Berlin (11.),,5,2,5,0,2,14,10,1,39
2010,SC Paderborn 07 (12.),,5,4,2,0,6,6,9,0,32
2010,Rot-Wei? Oberhausen (17.),,5,6,0,0,7,4,8,0,30
2010,Arminia Bielefeld (18.),,2,3,3,0,4,9,5,2,28
2011,Eintracht Frankfurt (2.),,12,7,16,0,8,12,19,2,76
2011,SpVgg Greuther F¨¹rth (1.),,9,11,9,1,17,17,7,2,73
2011,Fortuna D¨¹sseldorf (3.),,6,14,6,0,15,11,9,3,64
2011,TSV 1860 Munich (6.),,7,10,10,0,11,12,10,2,62
2011,FC St. Pauli (4.),,3,10,12,0,9,9,10,6,59
2011,1.FC Union Berlin (7.),,7,12,7,0,8,11,7,3,55
2011,SC Paderborn 07 (5.),,7,5,6,1,9,12,11,0,51
2011,SG Dynamo Dresden (9.),,6,6,8,2,14,7,5,2,50
2011,FC Ingolstadt 04 (12.),,7,4,6,0,4,8,13,1,43
2011,FSV Frankfurt (13.),,5,8,8,0,6,8,8,0,43
2011,MSV Duisburg (10.),,6,6,7,0,6,9,7,1,42
2011,VfL Bochum (11.),,5,9,7,0,4,4,9,3,41
2011,Eintracht Braunschweig (8.),,8,5,9,0,4,2,8,1,37
2011,Karlsruher SC (16.),,5,4,5,1,6,4,9,0,34
2011,FC Hansa Rostock (18.),,4,5,4,0,8,8,4,1,34
2011,FC Erzgebirge Aue (15.),,4,5,3,1,10,4,2,2,31
2011,FC Energie Cottbus (14.),,5,3,3,0,9,6,4,0,30
2011,Alemannia Aachen (17.),,6,8,6,0,3,1,5,1,30
2012,Hertha BSC (1.),,7,5,9,0,11,11,21,1,65
2012,1.FC Kaiserslautern (3.),,5,11,10,2,5,8,13,1,55
2012,FSV Frankfurt (4.),,6,6,9,0,10,8,13,3,55
2012,Eintracht Braunschweig (2.),,7,6,10,0,6,10,11,2,52
2012,1.FC Union Berlin (7.),,7,7,10,0,12,5,6,3,50
2012,SC Paderborn 07 (12.),,4,7,5,0,8,8,11,2,45
2012,FC St. Pauli (10.),,3,5,4,0,11,12,8,1,44
2012,1. FC K?ln (5.),,6,7,4,0,4,7,12,3,43
2012,FC Energie Cottbus (8.),,7,6,5,0,7,7,7,2,41
2012,VfR Aalen (9.),,1,6,5,3,5,7,13,0,40
2012,VfL Bochum (14.),,1,7,5,0,8,6,12,1,40
2012,TSV 1860 Munich (6.),,5,5,4,2,7,9,7,0,39
2012,FC Erzgebirge Aue (15.),,8,4,4,0,9,2,12,0,39
2012,SV Sandhausen (17.),,5,4,6,2,5,8,7,1,38
2012,MSV Duisburg (11.),,4,3,5,0,7,8,8,2,37
2012,FC Ingolstadt 04 (13.),,4,8,2,0,6,7,7,2,36
2012,SSV Jahn Regensburg (18.),,3,10,6,0,6,2,9,0,36
2012,SG Dynamo Dresden (16.),,6,6,5,0,4,8,6,0,35
2013,SpVgg Greuther F¨¹rth (3.),,9,5,8,0,11,10,19,2,64
2013,SC Paderborn 07 (2.),,5,6,10,2,16,14,10,0,63
2013,1.FC Kaiserslautern (4.),,4,5,14,1,11,11,6,3,55
2013,1. FC K?ln (1.),,8,9,5,0,10,9,11,1,53
2013,1.FC Union Berlin (9.),,4,9,9,0,12,5,8,1,48
2013,Karlsruher SC (5.),,6,11,5,0,7,10,8,0,47
2013,FSV Frankfurt (13.),,7,6,9,0,6,9,8,1,46
2013,Fortuna D¨¹sseldorf (6.),,7,3,10,1,7,11,5,1,45
2013,FC St. Pauli (8.),,7,5,6,1,5,8,11,1,44
2013,FC Erzgebirge Aue (14.),,6,10,3,0,10,5,7,1,42
2013,Arminia Bielefeld (16.),,3,4,6,0,10,7,7,3,40
2013,TSV 1860 Munich (7.),,6,6,3,0,5,6,8,4,38
2013,VfR Aalen (11.),,5,3,7,0,5,8,7,1,36
2013,SG Dynamo Dresden (17.),,5,3,6,0,3,10,7,2,36
2013,FC Energie Cottbus (18.),,8,7,5,0,3,4,6,2,35
2013,FC Ingolstadt 04 (10.),,6,6,5,0,3,3,11,0,34
2013,VfL Bochum (15.),,6,3,5,0,3,9,3,1,30
2013,SV Sandhausen (12.),,6,5,5,0,3,4,5,1,29
2014,FC Ingolstadt 04 (1.),,4,9,9,2,4,8,12,5,53
2014,VfL Bochum (11.),,9,5,11,0,5,12,10,1,53
2014,1.FC Heidenheim 1846 (8.),,7,6,9,0,12,7,7,1,49
2014,Fortuna D¨¹sseldorf (10.),,7,9,6,1,7,9,8,1,48
2014,Karlsruher SC (3.),,5,8,9,0,8,11,4,1,46
2014,1.FC Union Berlin (7.),,5,7,0,0,10,9,15,0,46
2014,1.FC Kaiserslautern (4.),,8,7,9,0,3,7,10,1,45
2014,SV Darmstadt 98 (2.),,5,5,8,1,4,9,11,1,44
2014,Eintracht Braunschweig (6.),,6,3,8,0,9,8,7,3,44
2014,1.FC Nuremberg (9.),,5,9,6,0,5,9,7,1,42
2014,FSV Frankfurt (13.),,3,9,5,1,6,7,8,2,41
2014,TSV 1860 Munich (16.),,4,8,7,0,6,10,4,2,41
2014,FC St. Pauli (15.),,4,3,9,1,10,3,9,1,40
2014,RasenBallsport Leipzig (5.),,8,9,5,0,4,5,7,1,39
2014,VfR Aalen (18.),,3,1,3,0,11,12,5,0,35
2014,SpVgg Greuther F¨¹rth (14.),,6,10,0,0,8,4,6,0,34
2014,SV Sandhausen (12.),,4,5,1,0,4,8,8,2,32
2014,FC Erzgebirge Aue (17.),,7,4,7,0,5,5,4,0,32
2015,SC Freiburg (1.),,11,6,17,1,11,12,12,5,75
2015,1.FC Nuremberg (3.),,6,6,8,0,9,17,20,2,68
2015,VfL Bochum (5.),,10,8,7,0,9,13,6,3,56
2015,1.FC Union Berlin (6.),,8,10,10,1,7,7,11,2,56
2015,RasenBallsport Leipzig (2.),,5,8,3,2,13,14,8,1,54
2015,SpVgg Greuther F¨¹rth (9.),,13,6,6,0,7,5,8,4,49
2015,1.FC Kaiserslautern (10.),,6,10,5,0,7,8,9,4,49
2015,FC St. Pauli (4.),,8,5,6,0,6,11,5,4,45
2015,Eintracht Braunschweig (8.),,4,6,6,0,13,9,6,0,44
2015,1.FC Heidenheim 1846 (11.),,6,5,3,0,8,9,10,1,42
2015,SV Sandhausen (13.),,6,5,6,0,5,10,8,0,40
2015,Arminia Bielefeld (12.),,2,5,3,0,13,3,11,1,38
2015,Karlsruher SC (7.),,2,3,9,1,6,6,6,2,35
2015,FSV Frankfurt (17.),,5,2,5,0,8,6,5,2,33
2015,Fortuna D¨¹sseldorf (14.),,5,7,5,0,1,9,4,1,32
2015,TSV 1860 Munich (15.),,6,4,2,2,6,6,5,1,32
2015,MSV Duisburg (16.),,1,1,3,0,7,9,10,1,32
2015,SC Paderborn 07 (18.),,4,6,3,0,7,2,6,0,28
2016,VfB Stuttgart (1.),,12,9,4,1,9,13,11,4,63
2016,SG Dynamo Dresden (5.),,8,9,10,2,5,6,12,1,53
2016,Hannover 96 (2.),,3,7,4,3,9,14,7,4,51
2016,1.FC Union Berlin (4.),,6,4,9,0,8,11,13,0,51
2016,Eintracht Braunschweig (3.),,4,7,8,1,8,9,9,4,50
2016,Arminia Bielefeld (15.),,8,6,6,1,8,12,7,2,50
2016,1.FC Nuremberg (12.),,6,6,6,2,3,9,12,2,46
2016,1.FC Heidenheim 1846 (6.),,4,4,6,1,9,8,8,3,43
2016,VfL Bochum (9.),,8,4,6,0,5,6,12,1,42
2016,SV Sandhausen (10.),,9,6,1,1,5,7,10,2,41
2016,FC St. Pauli (7.),,4,4,4,0,10,6,9,2,39
2016,Fortuna D¨¹sseldorf (11.),,3,6,8,0,5,6,8,1,37
2016,FC Erzgebirge Aue (14.),,5,5,8,0,11,3,4,1,37
2016,TSV 1860 Munich (16.),,4,7,7,1,4,6,7,1,37
2016,SpVgg Greuther F¨¹rth (8.),,3,6,5,0,4,6,5,4,33
2016,W¨¹rzburger Kickers (17.),,2,7,3,0,7,2,9,2,32
2016,1.FC Kaiserslautern (13.),,1,7,4,0,5,5,7,0,29
2016,Karlsruher SC (18.),,3,3,2,0,5,6,7,1,27
,,,,,,,,,,,
,,,1135,1281,1338,75,1480,1617,1724,285,8935
,,,12.7%,14.3%,15.0%,0.8%,16.6%,18.1%,19.3%,3.2%,
,,,,,,,29.0%,31.7%,,,
