X,Y,line_id,station_id,name,lat,lon,gg_lng,gg_lat,wgs_lng,wgs_lat,stationID2
113.226701,23.06795116,1,1,西朗,23.07098,113.2386,113.2320253,23.06524992,113.226701,23.06795116,1
113.2271025,23.08159164,1,2,坑口,23.08463,113.239,113.2324274,23.07889591,113.2271025,23.08159164,2
113.2287117,23.089772,1,3,花地湾,23.09283,113.2406,113.2340363,23.08707871,113.2287117,23.089772,3
113.2303265,23.1012303,1,4,芳村,23.10431,113.2422,113.2356511,23.09854089,113.2303265,23.1012303,4
113.2351077,23.11257959,1,5,黄沙,23.115728,113.246955,113.2404313,23.10989275,113.2351077,23.11257959,5
113.2367513,23.12092096,1,6,长寿路,23.124097,113.248587,113.242075,23.11823701,113.2367513,23.12092096,6
113.240959,23.12836353,1,7,陈家祠,23.131612,113.252777,113.2462826,23.12568171,113.240959,23.12836353,7
113.250617,23.12788609,1,8,西门口,23.131304,113.262402,113.2559421,23.12520455,113.250617,23.12788609,8
113.2588787,23.12809791,1,9,公园前,23.131645,113.270642,113.2642079,23.12541966,113.2588787,23.12809791,9
113.2700246,23.12927798,1,10,农讲所,23.132934,113.281777,113.2753636,23.12660846,113.2700246,23.12927798,10
113.2804187,23.12927213,1,11,烈士陵园,23.132935,113.292185,113.2857707,23.12661404,113.2804187,23.12927213,11
113.2904216,23.12675593,1,12,东山口,23.130338,113.302223,113.2957889,23.12411076,113.2904216,23.12675593,12
113.3028171,23.12983311,1,13,杨箕,23.133238,113.314681,113.308207,23.12720963,113.3028171,23.12983311,13
113.3160915,23.13371546,1,14,体育西路,23.136921,113.328028,113.3215082,23.13111796,113.3160915,23.13371546,14
113.3182422,23.1366525,1,15,体育中心,23.139833,113.33019,113.3236636,23.13406027,113.3182422,23.1366525,15
113.3188729,23.1526276,1,16,广州东站,23.155809,113.330834,113.3242966,23.15004291,113.3188729,23.1526276,16
113.2685677,23.09993807,2,9,江南西,23.103578,113.28034,113.2739032,23.0972552,113.2685677,23.09993807,10
113.2645337,23.10862136,2,10,市二宫,23.11223,113.2763,113.2698659,23.10593879,113.2645337,23.10862136,11
113.2605354,23.11763929,2,11,海珠广场,23.121205,113.2723,113.265865,23.11495773,113.2605354,23.11763929,12
113.2588787,23.12809791,2,12,公园前,23.131645,113.270642,113.2642079,23.12541966,113.2588787,23.12809791,13
113.2580449,23.1347179,2,13,纪念堂,23.138256,113.26981,113.263374,23.13204188,113.2580449,23.1347179,14
113.2559729,23.14287446,2,14,越秀公园,23.146386,113.267746,113.2613013,23.14020071,113.2559729,23.14287446,15
113.2505431,23.15034076,2,15,广州火车站,23.153768,113.262337,113.2558696,23.14766816,113.2505431,23.15034076,16
113.2519034,23.16189573,2,16,三元里,23.165353,113.263705,113.2572313,23.15922797,113.2519034,23.16189573,17
113.2583007,23.17152768,2,17,飞翔公园,23.17509,113.270096,113.2636324,23.16886619,113.2583007,23.17152768,18
113.2655406,23.18432686,2,18,白云公园,23.18798,113.277335,113.2708788,23.18167491,113.2655406,23.18432686,19
113.2702236,23.19250837,2,19,白云文化广场,23.196198,113.282019,113.2755671,23.18986347,113.2702236,23.19250837,20
113.2750124,23.20097454,2,20,萧岗,23.204681,113.28681,113.280362,23.1983376,113.2750124,23.20097454,21
113.2778492,23.21386515,2,21,江夏,23.217573,113.289643,113.2832033,23.21123603,113.2778492,23.21386515,22
113.2819165,23.22444291,2,22,黄边,23.228138,113.29371,113.2872769,23.22182252,113.2819165,23.22444291,23
113.2833199,23.24010754,2,23,嘉禾望岗,23.243797,113.295105,113.2886835,23.23749428,113.2833199,23.24010754,24
113.2715211,23.093296,2,41,昌岗,23.09695,113.2833,113.2768594,23.09061311,113.2715211,23.093296,9
113.2752156,23.08473473,2,42,江泰路,23.088395,113.287004,113.2805576,23.0820521,113.2752156,23.08473473,8
113.2890197,23.0738509,2,43,东晓南,23.077434,113.30085,113.294381,23.07118165,113.2890197,23.0738509,7
113.2925227,23.06638859,2,44,南洲,23.069927,113.304367,113.2978894,23.06372152,113.2925227,23.06638859,6
113.2933813,23.04579646,2,45,洛溪,23.049312,113.305213,113.2987481,23.04312193,113.2933813,23.04579646,5
113.2881871,23.03644511,2,46,南浦,23.040016,113.299986,113.2935446,23.03375862,113.2881871,23.03644511,4
113.281239,23.01550866,2,47,会江,23.01912,113.293,113.2865844,23.01280356,113.281239,23.01550866,3
113.2730486,22.99679692,2,48,石壁,23.00041,113.2848,113.2783821,22.99407424,113.2730486,22.99679692,2
113.2650446,22.991757,2,49,广州南站,22.99532,113.2768,113.2703695,22.98902495,113.2650446,22.991757,1
113.3160915,23.13371546,3,3,体育西路,23.136921,113.328028,113.3215082,23.13111796,113.3160915,23.13371546,11
113.315753,23.12200624,3,4,珠江新城,23.125212,113.32769,113.3211682,23.11940336,113.315753,23.12200624,10
113.317833,23.1088155,3,5,广州塔,23.111992,113.32979,113.3232516,23.10621117,113.317833,23.1088155,9
113.315163,23.09890909,3,6,客村,23.102117,113.327116,113.3205755,23.09629558,113.315163,23.09890909,8
113.3162596,23.08048641,3,7,大塘,23.083675,113.328231,113.3216731,23.07786726,113.3162596,23.08048641,7
113.3150408,23.05753607,3,8,沥,23.06073,113.327,113.3204502,23.05490485,113.3150408,23.05753607,6
113.315329,23.04014744,3,9,厦,23.043327,113.327272,113.3207378,23.0375093,113.315329,23.04014744,5
113.3161695,23.02036278,3,10,大石,23.02352,113.3281,113.3215787,23.0177177,113.3161695,23.02036278,4
113.3248269,22.99624861,3,11,汉溪长隆,22.99931,113.3368,113.3302523,22.99360963,113.3248269,22.99624861,3
113.3563709,22.95222853,3,12,市桥,22.95549,113.3684,113.3618521,22.94962598,113.3563709,22.95222853,2
113.3798282,22.93817521,3,13,番禺广场,22.94184,113.3918,113.385335,22.9355928,113.3798282,22.93817521,1
113.3383371,23.17333592,3,14,天河客运站,23.176465,113.35038,113.3438017,23.17079595,113.3383371,23.17333592,16
113.3464249,23.15511594,3,15,五山,23.158306,113.358452,113.3519034,23.15258318,113.3464249,23.15511594,15
113.3398417,23.14314816,3,16,华师,23.146269,113.351857,113.3453071,23.14059918,113.3398417,23.14314816,14
113.3341467,23.13744553,3,17,岗顶,23.14054,113.346151,113.3396007,23.13488385,113.3341467,23.13744553,13
113.3262187,23.13586963,3,18,石牌桥,23.13898,113.3382,113.3316564,23.13329234,113.3262187,23.13586963,12
113.401765,23.13473214,4,5,黄村,23.138551,113.413705,113.4072889,23.13223866,113.401765,23.13473214,5
113.389941,23.12691761,4,6,车陂,23.130747,113.401879,113.3954652,23.12442057,113.389941,23.12691761,6
113.3846659,23.11816509,4,7,车陂南,23.121955,113.396613,113.3901878,23.11566237,113.3846659,23.11816509,7
113.3792297,23.10024333,4,8,万胜围,23.103967,113.391201,113.3847471,23.09772985,113.3792297,23.10024333,8
113.3712321,23.06950299,4,9,官洲,23.073091,113.383236,113.3767405,23.06696957,113.3712321,23.06950299,9
113.3799456,23.06080148,4,10,大学城北,23.064521,113.391927,113.3854608,23.05827187,113.3799456,23.06080148,10
113.3950252,23.04591521,4,11,大学城南,23.049726,113.406979,113.4005443,23.04338513,113.3950252,23.04591521,11
113.4101024,23.03086726,4,12,新造,23.034558,113.422056,113.4156145,23.02832676,113.4101024,23.03086726,12
113.4598044,22.95992618,4,13,石,22.96295,113.4718,113.4652154,22.95727367,113.4598044,22.95992618,13
113.4700577,22.94206827,4,14,海傍,22.94515,113.482,113.4754361,22.93938099,113.4700577,22.94206827,14
113.4794358,22.92242385,4,15,低涌,22.92561,113.4913,113.4847819,22.91970164,113.4794358,22.92242385,15
113.4736184,22.8882588,4,16,东涌,22.89135,113.4855,113.4789816,22.88553925,113.4736184,22.8882588,16
113.504386,22.83876504,4,17,黄阁汽车城,22.84223,113.5161,113.50964,22.83593499,113.504386,22.83876504,17
113.5135275,22.82749739,4,18,黄阁,22.83098,113.5252,113.5187494,22.82463643,113.5135275,22.82749739,18
113.5223711,22.80342943,4,19,蕉门,22.80685,113.534,113.5275623,22.80053517,113.5223711,22.80342943,19
113.5338894,22.7951926,4,20,金洲,22.79845,113.5455,113.5390448,22.792266,113.5338894,22.7951926,20
113.2030443,23.11634106,5,1,蚩,23.119403,113.21494,113.2083956,23.11368487,113.2030443,23.11634106,1
113.2128218,23.12809281,5,2,坦尾,23.131087,113.224712,113.2181619,23.12542904,113.2128218,23.12809281,2
113.2275902,23.12817317,5,3,中山八,23.131228,113.239453,113.232918,23.1254964,113.2275902,23.12817317,3
113.2327144,23.13999428,5,4,西场,23.143117,113.244563,113.2380406,23.1373195,113.2327144,23.13999428,4
113.2366171,23.14483745,5,5,西村,23.148021,113.248455,113.2419425,23.14216315,113.2366171,23.14483745,5
113.2505431,23.15034076,5,6,广州火车站,23.153768,113.262337,113.2558696,23.14766816,113.2505431,23.15034076,6
113.2711772,23.14209786,5,7,小北,23.145765,113.282933,113.2765183,23.13943457,113.2711772,23.14209786,7
113.2813677,23.13903619,5,8,淘金,23.142699,113.293138,113.2867217,23.13638322,113.2813677,23.13903619,8
113.2915982,23.13662209,5,9,区庄,23.140194,113.303405,113.2969681,23.13398269,113.2915982,23.13662209,9
113.3019371,23.137213,5,10,动物园,23.140635,113.313797,113.3073258,23.13459094,113.3019371,23.137213,10
113.3028171,23.12983311,5,11,杨箕,23.133238,113.314681,113.308207,23.12720963,113.3028171,23.12983311,11
113.308896,23.12246477,5,12,五羊,23.12577,113.320796,113.3142974,23.11984926,113.308896,23.12246477,12
113.315753,23.12200624,5,13,珠江新城,23.125212,113.32769,113.3211682,23.11940336,113.315753,23.12200624,13
113.326886,23.12123844,5,14,猎德,23.12434,113.338872,113.3323242,23.11865651,113.326886,23.12123844,14
113.3405542,23.11994416,5,15,潭村,23.123061,113.35257,113.3460194,23.11738712,113.3405542,23.11994416,15
113.3587735,23.11795767,5,16,员村,23.121326,113.370776,113.3642696,23.11542928,113.3587735,23.11795767,16
113.3719842,23.12165489,5,17,科韵路,23.12527,113.383954,113.377497,23.11914398,113.3719842,23.12165489,17
113.3846659,23.11816509,5,18,车陂南,23.121955,113.396613,113.3901878,23.11566237,113.3846659,23.11816509,18
113.3961251,23.11191208,5,19,东圃,23.115747,113.40807,113.4016487,23.10940989,113.3961251,23.11191208,19
113.4103332,23.10651611,5,20,三溪,23.110237,113.422299,113.4158502,23.10400756,113.4103332,23.10651611,20
113.4267348,23.102656,5,21,鱼珠,23.10609,113.43874,113.432232,23.10012984,113.4267348,23.102656,21
113.4405454,23.10565659,5,22,大沙地,23.108855,113.452565,113.4460163,23.10310929,113.4405454,23.10565659,22
113.4528342,23.10886127,5,23,大沙东,23.111949,113.464838,113.458275,23.10628931,113.4528342,23.10886127,23
113.463532,23.1063885,5,24,文冲,23.109485,113.4755,113.4689418,23.10378903,113.463532,23.1063885,24
113.1963502,23.1668945,6,1,浔峰岗,23.170073,113.208259,113.2017147,23.16426828,113.1963502,23.1668945,1
113.2013831,23.16071418,6,2,横沙,23.163816,113.213291,113.2067397,23.15807804,113.2013831,23.16071418,2
113.2060375,23.1548356,6,3,沙贝,23.157883,113.217942,113.2113875,23.15219076,113.2060375,23.1548356,3
113.2121757,23.13781691,6,4,河沙,23.140817,113.224067,113.2175171,23.13515778,113.2121757,23.13781691,4
113.2128218,23.12809281,6,5,坦尾,23.131087,113.224712,113.2181619,23.12542904,113.2128218,23.12809281,5
113.2263371,23.11768885,6,6,如意坊,23.120728,113.238208,113.2316649,23.11500863,113.2263371,23.11768885,6
113.2351077,23.11257959,6,7,黄沙,23.115728,113.246955,113.2404313,23.10989275,113.2351077,23.11257959,7
113.2443853,23.11182598,6,8,文化公园,23.11513,113.2562,113.2497079,23.10913718,113.2443853,23.11182598,8
113.2519172,23.11565257,6,9,一德路,23.119089,113.263704,113.2572419,23.11296639,113.2519172,23.11565257,9
113.2605354,23.11763929,6,10,海珠广场,23.121205,113.2723,113.265865,23.11495773,113.2605354,23.11763929,10
113.2647242,23.12131745,6,11,北京路,23.124931,113.276481,113.2700574,23.11864023,113.2647242,23.12131745,11
113.2728125,23.12058749,6,12,团一大广场,23.124252,113.284569,113.278154,23.11791717,113.2728125,23.12058749,12
113.2834738,23.11786686,6,13,东湖,23.12151,113.295253,113.2888294,23.11520811,113.2834738,23.11786686,13
113.2904216,23.12675593,6,14,东山口,23.130338,113.302223,113.2957889,23.12411076,113.2904216,23.12675593,14
113.2915982,23.13662209,6,15,区庄,23.140194,113.303405,113.2969681,23.13398269,113.2915982,23.13662209,15
113.2946881,23.14390016,6,16,黄花岗,23.147435,113.306513,113.3000639,23.14126856,113.2946881,23.14390016,16
113.3015744,23.14970101,6,17,沙河顶,23.153135,113.31344,113.3069633,23.14708327,113.3015744,23.14970101,17
113.3159553,23.16201702,6,19,天平架,23.165239,113.327912,113.3213737,23.15943042,113.3159553,23.16201702,19
113.3383371,23.17333592,6,21,天河客运站,23.176465,113.35038,113.3438017,23.17079595,113.3383371,23.17333592,21
113.3438612,23.18102554,6,22,长,23.184202,113.355914,113.3493368,23.1784983,113.3438612,23.18102554,22
113.3721728,23.19366261,6,24,龙洞,23.197317,113.384183,113.3776907,23.19117983,113.3721728,23.19366261,24
113.4048325,23.19345103,6,26,高塘石,23.197275,113.416819,113.4103591,23.19097924,113.4048325,23.19345103,26
113.4275764,23.19082975,6,27,黄陂,23.194286,113.439609,113.4330782,23.18833716,113.4275764,23.19082975,27
113.4457471,23.1836009,6,28,金峰,23.186772,113.457791,113.4512112,23.18107403,113.4457471,23.1836009,28
113.4546987,23.17504507,6,29,暹岗,23.178157,113.46672,113.4601388,23.17249498,113.4546987,23.17504507,29
113.462526,23.17323404,6,30,苏元,23.176355,113.474517,113.4679434,23.17066379,113.462526,23.17323404,30
113.4765878,23.17798065,6,31,萝岗,23.181238,113.488503,113.4819607,23.17537356,113.4765878,23.17798065,31
113.4956577,23.17514172,6,32,香雪,23.178664,113.507439,113.5009646,23.172477,113.4956577,23.17514172,32
113.2650446,22.991757,7,1,广州南站,22.99532,113.2768,113.2703695,22.98902495,113.2650446,22.991757,1
113.2730486,22.99679692,7,2,石壁,23.00041,113.2848,113.2783821,22.99407424,113.2730486,22.99679692,2
113.2909966,22.99323963,7,3,谢村,22.99676,113.3028,113.2963558,22.99053869,113.2909966,22.99323963,3
113.310987,22.98893148,7,4,钟村,22.99215,113.3229,113.3163835,22.98626306,113.310987,22.98893148,4
113.3248269,22.99624861,7,5,汉溪长隆,22.99931,113.3368,113.3302523,22.99360963,113.3248269,22.99624861,5
113.3424945,23.00730586,7,6,南村万博,23.01039,113.3545,113.3479557,23.00470445,113.3424945,23.00730586,6
113.3606127,23.01856073,7,7,员岗,23.02192,113.3726,113.3661047,23.01599276,113.3606127,23.01856073,7
113.38246,23.01926542,7,8,板桥,23.02299,113.3944,113.387974,23.01671957,113.38246,23.01926542,8
113.3950252,23.04591521,7,9,大学城南,23.049726,113.406979,113.4005443,23.04338513,113.3950252,23.04591521,9
113.2508935,23.09711462,8,14,凤凰新村,23.10053,113.2627,113.2562166,23.0944205,113.2508935,23.09711462,14
113.2551646,23.09121698,8,15,沙园,23.094701,113.266964,113.2604892,23.08852178,113.2551646,23.09121698,15
113.2644157,23.08858677,8,16,宝岗大道,23.09219,113.2762,113.2697465,23.08589578,113.2644157,23.08858677,16
113.2765179,23.09568688,8,18,晓港,23.09935,113.2883,113.2818623,23.0930103,113.2765179,23.09568688,18
113.2877463,23.09470733,8,19,中大,23.09831,113.299561,113.293107,23.09204498,113.2877463,23.09470733,19
113.3028698,23.09797551,8,20,鹭江,23.101371,113.314756,113.3082576,23.09533904,113.3028698,23.09797551,20
113.315163,23.09890909,8,21,客村,23.102117,113.327116,113.3205755,23.09629558,113.315163,23.09890909,21
113.329549,23.09902391,8,22,赤岗,23.10211,113.341562,113.3349911,23.0964379,113.329549,23.09902391,22
113.3360071,23.10121359,8,23,磨碟沙,23.104302,113.348033,113.3414622,23.09864058,113.3360071,23.10121359,23
113.3516716,23.10123984,8,24,新港东,23.104483,113.3637,113.3571554,23.09869392,113.3516716,23.10123984,24
113.3611591,23.10109873,8,25,琶洲,23.104508,113.373171,113.3666575,23.09856667,113.3611591,23.10109873,25
113.3792297,23.10024333,8,,万胜围,23.103967,113.391201,113.3847471,23.09772985,113.3792297,23.10024333,26
113.3188729,23.1526276,30,1,广州东站,23.155809,113.330834,113.3242966,23.15004291,113.3188729,23.1526276,13
113.3183951,23.14396082,30,2,林和西,23.147143,113.330347,113.3238173,23.14137179,113.3183951,23.14396082,14
113.3160915,23.13371546,30,3,体育西路,23.136921,113.328028,113.3215082,23.13111796,113.3160915,23.13371546,15
113.2975308,23.38877545,30,2,机场南,23.392343,113.30939,113.3029284,23.38622201,113.2975308,23.38877545,2
113.2906185,23.33790206,30,4,人和,23.341556,113.302458,113.2960004,23.33532709,113.2906185,23.33790206,4
113.295516,23.29139726,30,5,龙归,23.294976,113.30738,113.3009032,23.28881796,113.295516,23.29139726,5
113.2833199,23.24010754,30,,嘉禾望岗,23.243797,113.295105,113.2886835,23.23749428,113.2833199,23.24010754,6
113.293227,23.22481081,30,6,白云大道北,23.228398,113.305064,113.2986057,23.22220692,113.293227,23.22481081,7
113.3010106,23.22283683,30,7,永泰,23.226309,113.31289,113.3064034,23.2202452,113.3010106,23.22283683,8
113.3207376,23.19986405,30,8,同和,23.203049,113.332739,113.3261684,23.19730074,113.3207376,23.19986405,9
113.3206711,23.18782166,30,9,京溪南方医院,23.191003,113.332672,113.326101,23.18525382,113.3206711,23.18782166,10
113.3149773,23.17802926,30,10,梅花园,23.181273,113.326945,113.3203948,23.17544692,113.3149773,23.17802926,11
113.3220558,23.16278585,30,11,燕塘,23.165941,113.334042,113.3274868,23.16021119,113.3220558,23.16278585,12
113.1031633,22.9967333,60,1,魁奇路,22.99987,113.1152,113.1086511,22.99417737,113.1031632,22.9967333,5
113.1030685,23.00969972,60,2,季华园,23.01284,113.1151,113.1085572,23.00714943,113.1030685,23.00969972,6
113.1028655,23.02158567,60,3,同济路,23.02473,113.1149,113.1083551,23.01904061,113.1028655,23.02158567,7
113.1067684,23.02961751,60,4,祖庙,23.0328,113.1188,113.1122572,23.02707391,113.1067684,23.02961751,8
113.1173043,23.03018908,60,5,普君北路,23.03351,113.1293,113.1227865,23.02763736,113.1173043,23.03018908,9
113.1282543,23.03018154,60,6,朝安,23.03368,113.1402,113.1337251,23.02761706,113.1282543,23.03018154,10
113.135886,23.03412609,60,7,桂城,23.03774,113.1478,113.1413468,23.03155236,113.135886,23.03412609,11
113.1486308,23.03657213,60,8,南桂路,23.0403,113.1605,113.1540715,23.03397833,113.1486308,23.03657213,12
113.1499246,23.0455823,60,9,虫雷岗,23.04932,113.1618,113.1553637,23.04299007,113.1499246,23.0455823,13
113.1501136,23.05760446,60,10,千灯湖,23.06135,113.162,113.1555531,23.05501704,113.1501136,23.05760446,14
113.1522127,23.06903559,60,11,金融高新区,23.07279,113.1641,113.1576493,23.06644927,113.1522127,23.06903559,15
113.1872985,23.06858529,60,12,龙溪,23.07189,113.1992,113.1926711,23.06593395,113.1872985,23.06858529,16
113.207274,23.06892291,60,13,菊树,23.07193,113.2192,113.2126166,23.06624123,113.207274,23.06892291,17
113.226701,23.06795116,60,14,西朗,23.07098,113.2386,113.2320253,23.06524992,113.226701,23.06795116,18
113.234424,23.07499125,60,15,鹤洞,23.07812,113.2463,113.2397453,23.07228896,113.234424,23.07499125,19
113.2417236,23.08608123,60,16,沙涌,23.089333,113.25357,113.2470444,23.08338186,113.2417236,23.08608123,20
113.2551646,23.09121698,60,,沙园,23.094701,113.266964,113.2604892,23.08852178,113.2551646,23.09121698,21
113.2653237,23.07921094,60,18,燕岗,23.08282,113.277112,113.2706547,23.07651668,113.2653237,23.07921094,22
113.1017526,22.98685526,60,22,澜石,22.98998,113.1138,113.1072401,22.98429566,113.1017526,22.98685526,4
113.1089525,22.967765,60,23,世纪莲,22.97095,113.121,113.1144361,22.96519333,113.1089525,22.967765,3
113.1237117,22.96788704,60,24,东平,22.97129,113.1357,113.1291835,22.96530144,113.1237117,22.96788704,2
113.1344587,22.96134122,60,25,新城东,22.96491,113.1464,113.1399166,22.95873828,113.1344587,22.96134122,1
113.3183951,23.14396082,68,1,林和西,23.147143,113.330347,113.3238173,23.14137179,113.3183951,23.14396082,1
113.3182422,23.1366525,68,2,体育中心南,23.139833,113.33019,113.3236636,23.13406027,113.3182422,23.1366525,2
113.3187444,23.1339214,68,3,天河南,23.137095,113.330694,113.3241666,23.13132903,113.3187444,23.1339214,3
113.3189654,23.12951359,68,4,黄埔大道,23.132683,113.330916,113.3243878,23.12691987,113.3189654,23.12951359,4
113.319263,23.1251104,68,5,妇儿中心,23.128275,113.331216,113.3246857,23.12251547,113.319263,23.1251104,5
113.3193313,23.12167022,68,6,花城大道,23.124833,113.331286,113.3247539,23.11907402,113.3193313,23.12167022,6
113.3192915,23.11817878,68,7,大剧院,23.121341,113.331248,113.3247137,23.11558108,113.3192915,23.11817878,7
113.3189302,23.11412185,68,8,海心沙,23.117287,113.330888,113.3243515,23.1115218,113.3189302,23.11412185,8
113.317833,23.1088155,68,9,广州塔,23.111992,113.32979,113.3232516,23.10621117,113.317833,23.1088155,9
